,date,disaster,province,total_cost,claims,duration,losses_day
256,2023-06-13,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Badajoz,2509.0,1,1,2509.0
257,2023-06-25,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Badajoz,1167.0,1,1,1167.0
258,2023-07-02,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Badajoz,5300.0,1,1,5300.0
261,2023-09-03,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Badajoz,141581.0,64,3,47193.666666666664
263,2023-09-15,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Badajoz,23817.0,6,2,11908.5
264,2023-09-19,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Badajoz,818.0,1,1,818.0
268,2023-10-20,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Badajoz,714050.0,204,4,178512.5
272,2023-10-25,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Badajoz,10959.0,8,4,2739.75
274,2023-10-30,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Badajoz,271308.0,28,2,135654.0
275,2023-11-02,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Badajoz,2224.0,1,1,2224.0
