,date,disaster,province,total_cost,claims,postal_codes,duration,losses_day
1510,2023-09-15,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Malaga,82224.0,9,"[29328, 29328, 29328, 29328, 29328, 29328, 29328, 29328, 29328]",1,82224.0
1512,2023-10-20,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Malaga,2301.0,2,"[29400, 29640]",2,1150.5
1513,2023-09-02,CAUSAS NATURALES/TEMPESTAD CICLÓNICA ATÍPICA,Malaga,1277.0,2,"[29620, 29620]",1,1277.0
1516,2023-05-29,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Melilla,60654.0,36,"[52001, 52002, 52003, 52004, 52005, 52006]",3,20218.0
1517,2023-09-02,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Melilla,1208.0,1,[52004],1,1208.0
1518,2023-04-29,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Murcia,10878.0,6,"[30579, 30011, 30008, 30007, 30570, 30007]",1,10878.0
1519,2023-05-01,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Murcia,917.0,1,[30570],1,917.0
1520,2023-05-13,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Murcia,22180.0,1,[30880],1,22180.0
1522,2023-05-19,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Murcia,18726.0,5,"[30394, 30201, 30562, 30850]",2,9363.0
1538,2023-06-06,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Murcia,9538048.0,2299,"[30730, 30740, 3657, 30800, 30300, 30812, 30817, 30820, 30310, 30830, 30319, 30320, 30833, 30834, 30835, 30840, 30330, 30332, 30333, 30335, 30848, 30338, 30850, 30860, 30351, 30868, 30870, 30360, 30875, 30364, 30366, 30880, 30369, 30370, 30368, 30889, 30890, 30380, 30384, 30385, 30390, 30391, 30392, 30393, 30394, 30396, 30399, 30400, 30410, 30430, 30439, 30500, 30506, 30507, 30508, 30509, 30510, 30002, 30006, 30009, 30012, 30530, 30540, 30550, 30560, 30564, 30565, 30570, 30579, 30590, 30592, 30593, 30600, 30611, 30612, 30613, 30100, 30620, 30110, 30120, 30640, 30140, 30148, 30150, 30152, 30153, 30155, 30160, 30161, 30167, 30168, 30169, 30170, 30180, 30700, 30193, 30709, 30201, 30202, 30203, 30204, 30205]",16,596128.0
